---------NEW-TRIAL----------
              disk0               disk4       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   14.63  219  3.12     8.59    0  0.00  14  5 81  4.61 6.89 5.49
   81.07  808 63.94     0.00    0  0.00  24  7 69  4.61 6.89 5.49
   61.21 3068 183.39     0.00    0  0.00  25  7 68  4.61 6.89 5.49
   22.43 1626 35.61     0.00    0  0.00  24  5 71  4.40 6.80 5.47
   16.98   41  0.68     0.00    0  0.00  27  3 69  4.40 6.80 5.47
   20.17  337  6.64    16.00    1  0.02  24  4 73  4.40 6.80 5.47
---------NEW-TRIAL----------
              disk0               disk4       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   14.57  221  3.14     8.60    0  0.00  14  5 81  8.55 8.13 6.24
    4.38 8059 34.48     0.00    0  0.00  19 11 71  8.55 8.13 6.24
    4.03 7414 29.18     0.00    0  0.00  23 13 64  8.18 8.06 6.23
    4.06 4552 18.04     0.00    0  0.00  27 16 57  8.18 8.06 6.23
    6.48 8718 55.14     0.00    0  0.00  40 18 42  8.18 8.06 6.23
    8.55 8799 73.47     0.00    0  0.00  41 18 42  8.18 8.06 6.23
    9.51 6571 61.05     0.00    0  0.00  48 22 30  8.18 8.06 6.23
    9.46 5905 54.57     0.00    0  0.00  43 21 35  8.01 8.02 6.23
    8.24 5413 43.57     0.00    0  0.00  50 20 30  8.01 8.02 6.23
---------NEW-TRIAL----------
              disk0               disk4       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   14.55  221  3.15     8.60    0  0.00  14  5 81  6.74 7.74 6.16
    4.53 7223 31.96     0.00    0  0.00  29 17 53  6.74 7.74 6.16
    4.08 9388 37.37     0.00    0  0.00  26 14 59  6.74 7.74 6.16
    4.30 9034 37.95     0.00    0  0.00  31 15 54  6.74 7.74 6.16
    5.62 9253 50.81     0.00    0  0.00  39 16 45  6.68 7.72 6.16
    6.70 8103 53.04     0.00    0  0.00  46 20 34  6.68 7.72 6.16
    8.06 6437 50.69     0.00    0  0.00  53 22 25  6.68 7.72 6.16
    6.74 7434 48.93     0.00    0  0.00  46 20 34  6.68 7.72 6.16
    5.68 9539 52.93     0.00    0  0.00  45 16 39  6.68 7.72 6.16
    7.74 10213 77.17     0.00    0  0.00  44 16 40  8.07 7.99 6.26
    9.18 5970 53.53     0.00    0  0.00  49 24 27  8.07 7.99 6.26
    8.47 8279 68.49     0.00    0  0.00  49 25 26  8.07 7.99 6.26
    7.60 9218 68.44     0.00    0  0.00  49 21 30  8.07 7.99 6.26
    8.54 8908 74.29     0.00    0  0.00  51 21 28  8.07 7.99 6.26
    8.63 8191 69.07     0.00    0  0.00  49 23 28  8.79 8.13 6.32
    6.88 6770 45.49     0.00    0  0.00  49 24 28  8.79 8.13 6.32
   10.99 6145 65.93     0.00    0  0.00  56 26 18  8.79 8.13 6.32
    9.12 7237 64.47     0.00    0  0.00  50 24 26  8.79 8.13 6.32
    6.32 8552 52.79     0.00    0  0.00  49 24 27  8.79 8.13 6.32
    8.95 7340 64.12     0.00    0  0.00  50 23 27  8.96 8.18 6.35
              disk0               disk4       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.87 8186 62.91     0.00    0  0.00  51 20 29  8.96 8.18 6.35
    8.83 7931 68.40     0.00    0  0.00  50 25 25  8.96 8.18 6.35
   11.12 3901 42.36     0.00    0  0.00  49 23 27  8.96 8.18 6.35
