=====NEW TRIAL=====
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.12 5471 38.02     0.00    0  0.00     0.00    0  0.00  47 19 34  17.34 9.33 5.89
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.82 5212 29.61     0.00    0  0.00     0.00    0  0.00  40 23 37  17.34 9.33 5.89
    5.93 6591 38.19     0.00    0  0.00     0.00    0  0.00  34 21 46  17.34 9.33 5.89
    5.48 6495 34.73     0.00    0  0.00     0.00    0  0.00  39 20 41  18.75 9.76 6.06
    5.57 6147 33.45     0.00    0  0.00     0.00    0  0.00  39 21 39  18.75 9.76 6.06
    5.58 6152 33.52     0.00    0  0.00     0.00    0  0.00  42 22 36  18.75 9.76 6.06
    5.86 6748 38.60     0.00    0  0.00     0.00    0  0.00  38 20 42  18.75 9.76 6.06
    5.47 6305 33.70     0.00    0  0.00     0.00    0  0.00  34 20 46  18.75 9.76 6.06
    5.78 6076 34.33     0.00    0  0.00     0.00    0  0.00  42 23 35  20.38 10.25 6.26
    5.75 7096 39.86     0.00    0  0.00     0.00    0  0.00  37 21 42  20.38 10.25 6.26
    5.56 6484 35.23     0.00    0  0.00     0.00    0  0.00  37 20 43  20.38 10.25 6.26
    5.44 6183 32.87     0.00    0  0.00     0.00    0  0.00  35 21 44  20.38 10.25 6.26
    7.18 6026 42.24     0.00    0  0.00     0.00    0  0.00  33 20 47  20.38 10.25 6.26
    8.06 6194 48.76     0.00    0  0.00     0.00    0  0.00  38 21 41  20.99 10.54 6.38
    5.49 6059 32.46     0.00    0  0.00     0.00    0  0.00  42 20 38  20.99 10.54 6.38
    5.44 6773 35.97     0.00    0  0.00     0.00    0  0.00  38 21 41  20.99 10.54 6.38
    5.58 6313 34.41     0.00    0  0.00     0.00    0  0.00  33 20 47  20.99 10.54 6.38
    5.40 4913 25.93     0.00    0  0.00     0.00    0  0.00  53 21 27  20.99 10.54 6.38
    5.37 7020 36.81     0.00    0  0.00     0.00    0  0.00  35 21 44  21.23 10.76 6.49
    6.21 6072 36.81     0.00    0  0.00     0.00    0  0.00  37 21 42  21.23 10.76 6.49
    6.12 6577 39.33     0.00    0  0.00     0.00    0  0.00  36 20 43  21.23 10.76 6.49
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.80 6011 34.06     0.00    0  0.00     0.00    0  0.00  30 19 51  21.23 10.76 6.49
    5.54 6641 35.91     0.00    0  0.00     0.00    0  0.00  33 19 48  21.23 10.76 6.49
    5.47 6555 35.03     0.00    0  0.00     0.00    0  0.00  31 19 50  21.85 11.07 6.62
    5.40 6895 36.34     0.00    0  0.00     0.00    0  0.00  30 19 50  21.85 11.07 6.62
    6.46 6709 42.30     0.00    0  0.00     0.00    0  0.00  35 21 44  21.85 11.07 6.62
    6.28 7632 46.83     0.00    0  0.00     0.00    0  0.00  28 20 52  21.85 11.07 6.62
    7.16 6942 48.54     0.00    0  0.00     0.00    0  0.00  32 21 48  21.85 11.07 6.62
    5.57 5945 32.34     0.00    0  0.00     0.00    0  0.00  33 18 49  21.94 11.26 6.71
    5.83 6410 36.48     0.00    0  0.00     0.00    0  0.00  30 19 50  21.94 11.26 6.71
    5.50 6215 33.37     0.00    0  0.00     0.00    0  0.00  38 20 41  21.94 11.26 6.71
    5.55 6569 35.59     0.00    0  0.00     0.00    0  0.00  38 21 40  21.94 11.26 6.71
    5.48 6528 34.91     0.00    0  0.00     0.00    0  0.00  32 19 49  21.94 11.26 6.71
    5.83 7255 41.27     0.00    0  0.00     0.00    0  0.00  33 19 48  22.11 11.48 6.82
