=====NEW TRIAL=====
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   13.61  134  1.78     8.59    0  0.00   115.32    0  0.00  16  5 79  22.15 12.48 7.34
    8.89 2188 18.99     0.00    0  0.00     0.00    0  0.00  40 17 44  22.15 12.48 7.34
    6.65 2942 19.12     0.00    0  0.00     0.00    0  0.00  35 13 52  22.15 12.48 7.34
    5.90 6500 37.46     0.00    0  0.00     0.00    0  0.00  33 20 47  22.15 12.48 7.34
    5.66 6240 34.52     0.00    0  0.00     0.00    0  0.00  32 21 47  22.14 12.64 7.43
    6.02 5430 31.93     0.00    0  0.00     0.00    0  0.00  45 21 34  22.14 12.64 7.43
    5.30 6280 32.48     0.00    0  0.00     0.00    0  0.00  32 21 47  22.14 12.64 7.43
    5.48 6190 33.14     0.00    0  0.00     0.00    0  0.00  34 21 45  22.14 12.64 7.43
    5.25 7036 36.05     0.00    0  0.00     0.00    0  0.00  35 21 44  22.14 12.64 7.43
    7.57 5873 43.42     0.00    0  0.00     0.00    0  0.00  31 20 49  22.61 12.90 7.55
    5.31 6113 31.72     0.00    0  0.00     0.00    0  0.00  35 22 43  22.61 12.90 7.55
    5.50 6074 32.60     0.00    0  0.00     0.00    0  0.00  44 23 33  22.61 12.90 7.55
    5.25 6607 33.87     0.00    0  0.00     0.00    0  0.00  39 21 40  22.61 12.90 7.55
    5.88 6324 36.33     0.00    0  0.00     0.00    0  0.00  31 21 48  22.61 12.90 7.55
    6.03 6552 38.58     0.00    0  0.00     0.00    0  0.00  31 19 50  22.24 12.98 7.61
    7.72 6936 52.28     0.00    0  0.00     0.00    0  0.00  33 19 48  22.24 12.98 7.61
    5.93 5729 33.20     0.00    0  0.00     0.00    0  0.00  35 20 45  22.24 12.98 7.61
    5.62 5894 32.36     0.00    0  0.00     0.00    0  0.00  30 20 50  22.24 12.98 7.61
    5.70 5800 32.29     0.00    0  0.00     0.00    0  0.00  31 17 52  22.24 12.98 7.61
    5.40 6549 34.53     0.00    0  0.00     0.00    0  0.00  31 19 50  22.06 13.10 7.68
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.33 6499 33.86     0.00    0  0.00     0.00    0  0.00  31 18 50  22.06 13.10 7.68
    5.90 6880 39.66     0.00    0  0.00     0.00    0  0.00  30 19 51  22.06 13.10 7.68
    5.87 6297 36.11     0.00    0  0.00     0.00    0  0.00  35 19 46  22.06 13.10 7.68
    5.44 5784 30.71     0.00    0  0.00     0.00    0  0.00  41 17 42  22.06 13.10 7.68
    5.49 6329 33.95     0.00    0  0.00     0.00    0  0.00  30 19 51  21.90 13.21 7.75
    5.68 6196 34.38     0.00    0  0.00     0.00    0  0.00  30 19 51  21.90 13.21 7.75
    5.39 6240 32.85     0.00    0  0.00     0.00    0  0.00  28 19 54  21.90 13.21 7.75
    5.79 6380 36.07     0.00    0  0.00     0.00    0  0.00  37 20 43  21.90 13.21 7.75
    7.95 6464 50.17     0.00    0  0.00     0.00    0  0.00  32 19 49  21.90 13.21 7.75
    5.81 6383 36.20     0.00    0  0.00     0.00    0  0.00  34 21 45  22.78 13.54 7.90
    5.45 6477 34.46     0.00    0  0.00     0.00    0  0.00  30 18 52  22.78 13.54 7.90
    5.55 6146 33.29     0.00    0  0.00     0.00    0  0.00  33 19 49  22.78 13.54 7.90
    5.45 5503 29.27     0.00    0  0.00     0.00    0  0.00  29 17 53  22.78 13.54 7.90
    9.17 7165 64.16     0.00    0  0.00     0.00    0  0.00  33 23 44  22.78 13.54 7.90
